city_fips,city_nm,city_pop
130880,"Goshen town, Alabama",266
131096,"Grant town, Alabama",1057
131384,"Graysville city, Alabama",1860
131720,"Greensboro city, Alabama",2163
131912,"Greenville city, Alabama",7030
132056,"Grimes town, Alabama",585
132080,"Grove Hill town, Alabama",1742
132224,"Guin city, Alabama",2147
132272,"Gulf Shores city, Alabama",16850
132416,"Guntersville city, Alabama",9028
132440,"Gurley town, Alabama",850
132536,"Gu-Win town, Alabama",143
132560,"Hackleburg town, Alabama",1438
132656,"Haleburg town, Alabama",116
132704,"Haleyville city, Alabama",4301
132848,"Hamilton city, Alabama",6952
132896,"Hammondville town, Alabama",423
132968,"Hanceville city, Alabama",3324
133256,"Harpersville town, Alabama",1817
133424,"Hartford city, Alabama",2726
133448,"Hartselle city, Alabama",15875
133640,"Hayden town, Alabama",1355
133712,"Hayneville town, Alabama",777
133856,"Headland city, Alabama",5333
133904,"Heath town, Alabama",241
133976,"Heflin city, Alabama",3507
134024,"Helena city, Alabama",22117
134096,"Henagar city, Alabama",2305
134480,"Highland Lake town, Alabama",424
134816,"Hillsboro town, Alabama",406
135152,"Hobson City town, Alabama",744
135200,"Hodges town, Alabama",262
135392,"Hokes Bluff city, Alabama",4648
135560,"Holly Pond town, Alabama",860
135632,"Hollywood town, Alabama",928
135800,"Homewood city, Alabama",27758
135896,"Hoover city, Alabama",92448
136088,"Horn Hill town, Alabama",208
136448,"Hueytown city, Alabama",16202
137000,"Huntsville city, Alabama",225564
137096,"Hurtsboro town, Alabama",340
137264,"Hytop town, Alabama",448
137312,"Ider town, Alabama",735
137465,"Indian Springs Village city, Alabama",2492
137864,"Irondale city, Alabama",13526
138152,"Jackson city, Alabama",4525
138248,"Jacksons' Gap town, Alabama",751
138272,"Jacksonville city, Alabama",14682
138416,"Jasper city, Alabama",14448
138608,"Jemison city, Alabama",2941
139280,"Kansas town, Alabama",176
139472,"Kellyton town, Alabama",124
139520,"Kennedy town, Alabama",427
139784,"Killen town, Alabama",1035
139856,"Kimberly city, Alabama",4463
140072,"Kinsey town, Alabama",2263
140096,"Kinston town, Alabama",595
140672,"La Fayette city, Alabama",2625
140888,"Lakeview town, Alabama",163
140928,"Lake View town, Alabama",3794
141296,"Lanett city, Alabama",6751
141368,"Langston town, Alabama",270
141968,"Leeds city, Alabama",12416
142016,"Leesburg town, Alabama",985
142160,"Leighton town, Alabama",653
142352,"Lester town, Alabama",119
142472,"Level Plains town, Alabama",1831
142640,"Lexington town, Alabama",735
142808,"Libertyville town, Alabama",108
143120,"Lincoln city, Alabama",7514
143240,"Linden city, Alabama",1848
143264,"Lineville city, Alabama",2484
143336,"Lipscomb city, Alabama",2006
143384,"Lisman town, Alabama",415
143648,"Littleville town, Alabama",1045
143720,"Livingston city, Alabama",3152
143744,"Loachapoka town, Alabama",162
143816,"Lockhart town, Alabama",446
143888,"Locust Fork town, Alabama",1233
144344,"Louisville town, Alabama",390
144536,"Lowndesboro town, Alabama",78
144608,"Loxley town, Alabama",4623
144728,"Luverne city, Alabama",2688
144800,"Lynn town, Alabama",618
145472,"McIntosh town, Alabama",197
145496,"McKenzie town, Alabama",494
145640,"McMullen town, Alabama",29
145784,"Madison city, Alabama",60854
145904,"Madrid town, Alabama",262
146072,"Magnolia Springs town, Alabama",844
146264,"Malvern town, Alabama",1567
146504,"Maplesville town, Alabama",651
146696,"Margaret town, Alabama",6236
146768,"Marion city, Alabama",2734
147728,"Maytown town, Alabama",312
148052,"Memphis town, Alabama",25
148064,"Mentone town, Alabama",325
148376,"Midfield city, Alabama",4960
148400,"Midland City town, Alabama",2296
148424,"Midway town, Alabama",404
148712,"Millbrook city, Alabama",17367
148808,"Millport town, Alabama",973
148832,"Millry town, Alabama",438
150000,"Mobile city, Alabama",182595
150192,"Monroeville city, Alabama",5734
150312,"Montevallo city, Alabama",7708
151000,"Montgomery city, Alabama",195287
151096,"Moody city, Alabama",13595
151264,"Mooresville town, Alabama",48
151456,"Morris town, Alabama",2249
151520,"Mosses town, Alabama",789
151600,"Moulton city, Alabama",3426
151648,"Moundville town, Alabama",3516
151696,"Mountain Brook city, Alabama",21737
152608,"Mount Vernon town, Alabama",1376
152776,"Mulga town, Alabama",766
152848,"Munford town, Alabama",1343
153016,"Muscle Shoals city, Alabama",17210
153112,"Myrtlewood town, Alabama",69
153256,"Napier Field town, Alabama",415
153376,"Natural Bridge town, Alabama",35
153400,"Nauvoo town, Alabama",185
153448,"Nectar town, Alabama",386
153472,"Needham town, Alabama",71
153784,"Newbern town, Alabama",132
153856,"New Brockton town, Alabama",1498
154168,"New Hope city, Alabama",2927
154432,"New Site town, Alabama",768
154480,"Newton town, Alabama",1645
154600,"Newville town, Alabama",558
155044,"North Courtland town, Alabama",490
155152,"North Johns town, Alabama",126
155200,"Northport city, Alabama",31111
155440,"Notasulga town, Alabama",875
155752,"Oak Grove town, Alabama",592
155848,"Oak Hill town, Alabama",13
155992,"Oakman town, Alabama",751
156400,"Odenville city, Alabama",5352
156472,"Ohatchee town, Alabama",1197
157000,"Oneonta city, Alabama",6995
157024,"Onycha town, Alabama",175
157048,"Opelika city, Alabama",33572
157120,"Opp city, Alabama",6757
157144,"Orange Beach city, Alabama",8534
157240,"Orrville town, Alabama",143
157504,"Owens Cross Roads town, Alabama",2917
157576,"Oxford city, Alabama",22078
157648,"Ozark city, Alabama",14346
157696,"Paint Rock town, Alabama",179
158272,"Parrish town, Alabama",970
158848,"Pelham city, Alabama",25121
158896,"Pell City city, Alabama",13924
158968,"Pennington town, Alabama",325
159088,"Perdido Beach town, Alabama",578
159328,"Petrey town, Alabama",64
159472,"Phenix City city, Alabama",38441
159496,"Phil Campbell town, Alabama",979
159592,"Pickensville town, Alabama",544
159640,"Piedmont city, Alabama",4705
159760,"Pike Road town, Alabama",11117
159832,"Pinckard town, Alabama",592
159880,"Pine Apple town, Alabama",130
160240,"Pine Hill town, Alabama",712
160372,"Pine Ridge town, Alabama",267
160648,"Pinson city, Alabama",7753
160720,"Pisgah town, Alabama",689
161008,"Pleasant Grove city, Alabama",9390
161038,"Pleasant Groves town, Alabama",431
161536,"Pollard town, Alabama",125
162075,"Powell town, Alabama",924
162328,"Prattville city, Alabama",39318
162472,"Priceville town, Alabama",3800
162496,"Prichard city, Alabama",18816
162688,"Providence town, Alabama",162
163216,"Ragland town, Alabama",1705
163288,"Rainbow City city, Alabama",10322
163336,"Rainsville city, Alabama",5768
163408,"Ranburne town, Alabama",431
163576,"Red Bay city, Alabama",3184
163768,"Red Level town, Alabama",434
163984,"Reece City town, Alabama",607
164104,"Reform town, Alabama",1461
164152,"Rehobeth town, Alabama",2013
164368,"Repton town, Alabama",229
164656,"Ridgeville town, Alabama",83
164776,"River Falls town, Alabama",491
164920,"Riverside city, Alabama",2266
165016,"Riverview town, Alabama",164
165040,"Roanoke city, Alabama",5387
165208,"Robertsdale city, Alabama",7421
165472,"Rockford town, Alabama",349
166216,"Rogersville town, Alabama",1385
166408,"Rosa town, Alabama",380
167056,"Russellville city, Alabama",10722
167176,"Rutledge town, Alabama",349
167536,"St. Florian town, Alabama",704
167800,"Samson city, Alabama",1860
167920,"Sand Rock town, Alabama",600
168016,"Sanford town, Alabama",264
168160,"Saraland city, Alabama",16435
168280,"Sardis City town, Alabama",1787
168352,"Satsuma city, Alabama",6849
168736,"Scottsboro city, Alabama",15863
169000,"Section town, Alabama",773
169120,"Selma city, Alabama",16666
169240,"Semmes city, Alabama",5846
169648,"Sheffield city, Alabama",9307
169840,"Shiloh town, Alabama",328
170128,"Shorter town, Alabama",371
170416,"Silas town, Alabama",365
170536,"Silverhill town, Alabama",1923
170704,"Sipsey town, Alabama",352
170896,"Skyline town, Alabama",851
171040,"Slocomb city, Alabama",2133
171190,"Smiths Station city, Alabama",5477
171280,"Snead town, Alabama",1042
171496,"Somerville town, Alabama",817
171832,"Southside city, Alabama",9597
171900,"South Vinemont town, Alabama",609
171976,"Spanish Fort city, Alabama",10923
172600,"Springville city, Alabama",5233
172888,"Steele town, Alabama",1000
173080,"Stevenson city, Alabama",1973
173728,"Sulligent city, Alabama",1832
173848,"Sumiton city, Alabama",2528
173872,"Summerdale town, Alabama",1576
174160,"Susan Moore town, Alabama",799
174304,"Sweet Water town, Alabama",219
174352,"Sylacauga city, Alabama",12216
174400,"Sylvania town, Alabama",1809
174424,"Sylvan Springs town, Alabama",1604
174592,"Talladega city, Alabama",14768
174616,"Talladega Springs town, Alabama",143
174688,"Tallassee city, Alabama",4753
174976,"Tarrant city, Alabama",5833
175096,"Taylor town, Alabama",2309
175936,"Thomaston town, Alabama",318
175960,"Thomasville city, Alabama",3583
176080,"Thorsby town, Alabama",2148
176584,"Town Creek town, Alabama",1063
176632,"Toxey town, Alabama",137
176680,"Trafford town, Alabama",592
176824,"Triana town, Alabama",4456
176872,"Trinity town, Alabama",2567
176920,"Troy city, Alabama",17836
176944,"Trussville city, Alabama",26770
177256,"Tuscaloosa city, Alabama",111338
177280,"Tuscumbia city, Alabama",9169
177304,"Tuskegee city, Alabama",8765
177352,"Twin town, Alabama",359
177616,"Union town, Alabama",167
177784,"Union Grove town, Alabama",71
177880,"Union Springs city, Alabama",3154
177904,"Uniontown town, Alabama",1963
178204,"Valley city, Alabama",10308
178232,"Valley Grande city, Alabama",3982
178240,"Valley Head town, Alabama",590
178264,"Vance town, Alabama",2263
178480,"Vernon city, Alabama",1849
178552,"Vestavia Hills city, Alabama",38020
178984,"Vina town, Alabama",322
179008,"Vincent town, Alabama",2024
179272,"Vredenburgh town, Alabama",218
179344,"Wadley town, Alabama",844
179488,"Waldo town, Alabama",256
179728,"Walnut Grove town, Alabama",778
179944,"Warrior city, Alabama",3187
180064,"Waterloo town, Alabama",183
180256,"Waverly town, Alabama",150
180352,"Weaver city, Alabama",3330
180376,"Webb town, Alabama",1312
180496,"Wedowee town, Alabama",747
180928,"West Blocton town, Alabama",1189
181336,"West Jefferson town, Alabama",466
181504,"Westover town, Alabama",1911
181528,"West Point town, Alabama",640
181720,"Wetumpka city, Alabama",7218
181912,"White Hall town, Alabama",756
182848,"Wilsonville town, Alabama",1926
182872,"Wilton town, Alabama",593
182992,"Winfield city, Alabama",4869
183400,"Woodland town, Alabama",227
183640,"Woodstock town, Alabama",1579
183664,"Woodville town, Alabama",751
183976,"Yellow Bluff town, Alabama",216
184096,"York city, Alabama",2307
200065,"Adak city, Alaska",154
200650,"Akhiok city, Alaska",64
200870,"Akiak city, Alaska",448
201090,"Akutan city, Alaska",1586
201200,"Alakanuk city, Alaska",723
201420,"Aleknagik city, Alaska",199
201860,"Allakaket city, Alaska",171
201970,"Ambler city, Alaska",254
202080,"Anaktuvuk Pass city, Alaska",403
203000,"Anchorage municipality, Alaska",286075
203220,"Anderson city, Alaska",173
203440,"Angoon city, Alaska",335
203550,"Aniak city, Alaska",494
203880,"Anvik city, Alaska",71
204210,"Atka city, Alaska",54
204500,"Atqasuk city, Alaska",255
206520,"Bethel city, Alaska",6292
206630,"Bettles city, Alaska",24
208740,"Brevig Mission city, Alaska",415
209600,"Buckland city, Alaska",511
212680,"Chefornak city, Alaska",490
213230,"Chevak city, Alaska",908
213550,"Chignik city, Alaska",86
214330,"Chuathbaluk city, Alaska",99
215430,"Clark's Point city, Alaska",63
216360,"Coffman Cove city, Alaska",125
216530,"Cold Bay city, Alaska",52
217410,"Cordova city, Alaska",2473
217740,"Craig city, Alaska",1041
218510,"Deering city, Alaska",170
218620,"Delta Junction city, Alaska",955
218950,"Dillingham city, Alaska",2126
219060,"Diomede city, Alaska",80
220380,"Eagle city, Alaska",85
220970,"Edna Bay city, Alaska",25
221040,"Eek city, Alaska",389
221150,"Egegik city, Alaska",34
221810,"Ekwok city, Alaska",103
222250,"Elim city, Alaska",360
222910,"Emmonak city, Alaska",787
224230,"Fairbanks city, Alaska",31856
224660,"False Pass city, Alaska",401
226760,"Fort Yukon city, Alaska",411
227530,"Galena city, Alaska",457
227640,"Gambell city, Alaska",620
229180,"Golovin city, Alaska",166
229290,"Goodnews Bay city, Alaska",252
230060,"Grayling city, Alaska",200
230940,"Gustavus city, Alaska",612
233030,"Holy Cross city, Alaska",170
233140,"Homer city, Alaska",6040
233360,"Hoonah city, Alaska",948
233470,"Hooper Bay city, Alaska",1308
233800,"Houston city, Alaska",2146
233910,"Hughes city, Alaska",82
234350,"Huslia city, Alaska",293
234460,"Hydaburg city, Alaska",375
236400,"Juneau city and borough, Alaska",31555
236540,"Kachemak city, Alaska",591
236770,"Kake city, Alaska",537
236990,"Kaktovik city, Alaska",272
237430,"Kaltag city, Alaska",157
237650,"Kasaan city, Alaska",30
238420,"Kenai city, Alaska",7746
238970,"Ketchikan city, Alaska",8079
239300,"Kiana city, Alaska",422
239410,"King Cove city, Alaska",771
239960,"Kivalina city, Alaska",416
240400,"Klawock city, Alaska",710
240840,"Kobuk city, Alaska",174
240950,"Kodiak city, Alaska",5354
241720,"Kotlik city, Alaska",628
241830,"Kotzebue city, Alaska",2979
241940,"Koyuk city, Alaska",297
242050,"Koyukuk city, Alaska",94
242160,"Kupreanof city, Alaska",19
242380,"Kwethluk city, Alaska",782
243040,"Larsen Bay city, Alaska",33
245460,"Lower Kalskag city, Alaska",269
246010,"McGrath city, Alaska",287
246890,"Manokotak city, Alaska",464
247000,"Marshall city, Alaska",471
247990,"Mekoryuk city, Alaska",200
251180,"Mountain Village city, Alaska",594
252390,"Napakiak city, Alaska",344
252720,"Napaskiak city, Alaska",494
253050,"Nenana city, Alaska",343
253270,"Newhalen city, Alaska",150
253710,"New Stuyahok city, Alaska",491
253930,"Nightmute city, Alaska",293
254150,"Nikolai city, Alaska",85
254920,"Nome city, Alaska",3639
255030,"Nondalton city, Alaska",118
255140,"Noorvik city, Alaska",645
255910,"North Pole city, Alaska",2427
256320,"Nuiqsut city, Alaska",490
256350,"Nulato city, Alaska",226
256600,"Nunam Iqua city, Alaska",209
256680,"Nunapitchuk city, Alaska",580
257340,"Old Harbor city, Alaska",207
258550,"Ouzinkie city, Alaska",102
258660,"Palmer city, Alaska",6378
259650,"Pelican city, Alaska",92
260640,"Pilot Point city, Alaska",61
260750,"Pilot Station city, Alaska",592
261080,"Platinum city, Alaska",54
261630,"Point Hope city, Alaska",781
262510,"Port Alexander city, Alaska",73
263390,"Port Heiden city, Alaska",91
263610,"Port Lions city, Alaska",165
264600,"Quinhagak city, Alaska",750
265590,"Ruby city, Alaska",134
265700,"Russian Mission city, Alaska",404
265800,"St. George city, Alaska",61
266140,"St. Mary's city, Alaska",577
266360,"St. Michael city, Alaska",440
266470,"St. Paul city, Alaska",399
267020,"Sand Point city, Alaska",600
267460,"Savoonga city, Alaska",804
267570,"Saxman city, Alaska",382
267680,"Scammon Bay city, Alaska",578
268230,"Selawik city, Alaska",760
268340,"Seldovia city, Alaska",248
268560,"Seward city, Alaska",2735
268670,"Shageluk city, Alaska",96
268890,"Shaktoolik city, Alaska",207
269770,"Shishmaref city, Alaska",555
270100,"Shungnak city, Alaska",254
270540,"Sitka city and borough, Alaska",8282
271640,"Soldotna city, Alaska",4577
272960,"Stebbins city, Alaska",612
275160,"Tanana city, Alaska",235
275930,"Teller city, Alaska",238
276260,"Tenakee Springs city, Alaska",111
277140,"Thorne Bay city, Alaska",470
277690,"Togiak city, Alaska",778
278240,"Toksook Bay city, Alaska",638
280660,"Unalakleet city, Alaska",741
280770,"Unalaska city, Alaska",4214
281320,"Upper Kalskag city, Alaska",209
281920,"Utqia?vik city, Alaska",4694
282200,"Valdez city, Alaska",3805
282750,"Wainwright city, Alaska",591
282860,"Wales city, Alaska",162
283080,"Wasilla city, Alaska",9945
284000,"Whale Pass city, Alaska",86
284070,"White Mountain city, Alaska",177
284510,"Whittier city, Alaska",263
286380,"Wrangell city and borough, Alaska",2064
402830,"Apache Junction city, Arizona",41153
404720,"Avondale city, Arizona",93545
405770,"Benson city, Arizona",5337
406260,"Bisbee city, Arizona",4994
407940,"Buckeye city, Arizona",108909
408220,"Bullhead City city, Arizona",43302
409690,"Camp Verde town, Arizona",12489
410180,"Carefree town, Arizona",3642
410530,"Casa Grande city, Arizona",63743
411300,"Cave Creek town, Arizona",5152
412000,"Chandler city, Arizona",280167
412840,"Chino Valley town, Arizona",13815
413890,"Clarkdale town, Arizona",4904
414380,"Clifton town, Arizona",3780
414870,"Colorado City town, Arizona",2734
415500,"Coolidge city, Arizona",18293
416410,"Cottonwood city, Arizona",13124
419145,"Dewey-Humboldt town, Arizona",4540
420050,"Douglas city, Arizona",15638
420750,"Duncan town, Arizona",670
420960,"Eagar town, Arizona",4437
422220,"El Mirage city, Arizona",35850
422360,"Eloy city, Arizona",18528
423620,"Flagstaff city, Arizona",76586
423760,"Florence town, Arizona",24291
425300,"Fountain Hills town, Arizona",23611
425720,"Fredonia town, Arizona",1302
427050,"Gila Bend town, Arizona",1854
427400,"Gilbert town, Arizona",275411
427820,"Glendale city, Arizona",253855
428030,"Globe city, Arizona",7179
428380,"Goodyear city, Arizona",111805
430270,"Guadalupe town, Arizona",5217
432020,"Hayden town, Arizona",516
433280,"Holbrook city, Arizona",4833
434120,"Huachuca City town, Arizona",1600
436290,"Jerome town, Arizona",460
437200,"Kearny town, Arizona",1817
437620,"Kingman city, Arizona",35334
439370,"Lake Havasu City city, Arizona",59257
441330,"Litchfield Park city, Arizona",6884
443990,"Mammoth town, Arizona",1133
444270,"Marana town, Arizona",58430
444410,"Maricopa city, Arizona",71022
446000,"Mesa city, Arizona",511648
446350,"Miami town, Arizona",1532
449640,"Nogales city, Arizona",19702
451600,"Oro Valley town, Arizona",48311
451810,"Page city, Arizona",7320
452930,"Paradise Valley town, Arizona",12502
453070,"Parker town, Arizona",3400
453490,"Patagonia town, Arizona",789
453700,"Payson town, Arizona",16731
454050,"Peoria city, Arizona",198750
455000,"Phoenix city, Arizona",1650070
455560,"Pima town, Arizona",3036
455980,"Pinetop-Lakeside town, Arizona",4191
457380,"Prescott city, Arizona",47757
457450,"Prescott Valley town, Arizona",50045
458010,"Quartzsite town, Arizona",2389
458150,"Queen Creek town, Arizona",76570
462000,"Safford city, Arizona",10270
462140,"Sahuarita town, Arizona",36356
462350,"St. Johns city, Arizona",3362
463470,"San Luis city, Arizona",37966
465000,"Scottsdale city, Arizona",244394
465350,"Sedona city, Arizona",9819
466470,"Show Low city, Arizona",12192
466820,"Sierra Vista city, Arizona",44431
467800,"Snowflake town, Arizona",6670
468080,"Somerton city, Arizona",14594
468850,"South Tucson city, Arizona",4521
468990,"Springerville town, Arizona",1727
469480,"Star Valley town, Arizona",2545
471300,"Superior town, Arizona",2571
471510,"Surprise city, Arizona",158285
472420,"Taylor town, Arizona",4272
473000,"Tempe city, Arizona",189834
473420,"Thatcher town, Arizona",5486
474190,"Tolleson city, Arizona",7173
474400,"Tombstone city, Arizona",1312
477000,"Tucson city, Arizona",547239
477490,"Tusayan town, Arizona",583
481480,"Wellton town, Arizona",2572
482740,"Wickenburg town, Arizona",8123
483090,"Willcox city, Arizona",3202
483160,"Williams city, Arizona",3463
483790,"Winkelman town, Arizona",294
483930,"Winslow city, Arizona",8517
485400,"Youngtown town, Arizona",6919
485540,"Yuma city, Arizona",100858
500250,"Adona city, Arkansas",147
500580,"Alexander city, Arkansas",3740
500700,"Alicia town, Arkansas",140
500940,"Allport town, Arkansas",90
500970,"Alma city, Arkansas",5997
501030,"Almyra town, Arkansas",249
501060,"Alpena town, Arkansas",385
501150,"Altheimer city, Arkansas",657
501210,"Altus city, Arkansas",675
501270,"Amagon town, Arkansas",65
501360,"Amity city, Arkansas",676
501457,"Anthonyville town, Arkansas",130
501540,"Antoine town, Arkansas",114
501870,"Arkadelphia city, Arkansas",10255
501990,"Arkansas City city, Arkansas",349
502380,"Ashdown city, Arkansas",4162
502470,"Ash Flat city, Arkansas",1175
502590,"Atkins city, Arkansas",2884
502680,"Aubrey town, Arkansas",99
502740,"Augusta city, Arkansas",1892
502860,"Austin city, Arkansas",4027
503040,"Avoca town, Arkansas",482
503280,"Bald Knob city, Arkansas",2513
503430,"Banks town, Arkansas",81
503640,"Barling city, Arkansas",5215
503940,"Bassett town, Arkansas",117
504030,"Batesville city, Arkansas",11515
504090,"Bauxite town, Arkansas",644
504180,"Bay city, Arkansas",1821
504420,"Bearden city, Arkansas",739
504540,"Beaver town, Arkansas",67
504600,"Beebe city, Arkansas",8871
504720,"Beedeville town, Arkansas",83
504840,"Bella Vista city, Arkansas",32368
504900,"Bellefonte town, Arkansas",426
504960,"Belleville city, Arkansas",308
505260,"Ben Lomond town, Arkansas",136
505290,"Benton city, Arkansas",37558
505320,"Bentonville city, Arkansas",59471
505440,"Bergman town, Arkansas",440
505560,"Berryville city, Arkansas",5754
505920,"Bigelow town, Arkansas",358
505980,"Big Flat town, Arkansas",89
506040,"Biggers town, Arkansas",308
506340,"Birdsong town, Arkansas",29
506610,"Black Oak town, Arkansas",226
506700,"Black Rock city, Arkansas",608
506730,"Black Springs town, Arkansas",94
507030,"Blevins city, Arkansas",277
507150,"Blue Eye town, Arkansas",44
507210,"Blue Mountain town, Arkansas",90
507270,"Bluff City town, Arkansas",113
507330,"Blytheville city, Arkansas",12594
507450,"Bodcaw town, Arkansas",118
507540,"Bonanza city, Arkansas",608
507630,"Bono city, Arkansas",2780
507720,"Booneville city, Arkansas",3820
508260,"Bradford city, Arkansas",679
508290,"Bradley city, Arkansas",394
508440,"Branch city, Arkansas",305
